название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
ХЛЕБ БОРОДИНСКИЙ390Г,3,160,Хлеб,,,0.39кг,,бренд,"хлеб ""ХЛЕБ БОРОДИНСКИЙ390Г"" какая марка",Глобус
НАСАДКА Д/ШВАБРЫ,3,360,,,,,,"категория, бренд, фасовка","""НАСАДКА Д/ШВАБРЫ"" что за товар",Глобус
GREEN.ВИШНЯ Б/КОСТОЧ,3,1654,Фрукты и ягоды,,,,,"бренд, фасовка","фрукты и ягоды ""GREEN.ВИШНЯ Б/КОСТОЧ"" производитель вес упаковки",Продторг
БЕЛ.ПАС.ПАСТИЛА БЕЛЕ,3,885,,,,,,"категория, бренд, фасовка","""БЕЛ.ПАС.ПАСТИЛА БЕЛЕ"" что за товар",Продторг
МИР.СТРИПСЫ КУР.С СЫ,3,547,Птица,,,,,"бренд, фасовка","птица ""МИР.СТРИПСЫ КУР.С СЫ"" производитель вес упаковки",Продторг
М К/ЧИЗ С КАР ЭСК 70,3,420,,,,,,"категория, бренд, фасовка","""М К/ЧИЗ С КАР ЭСК 70"" что за товар",Глобус
ПОЛО Д Р.158,3,3624,,,,,,"категория, бренд, фасовка","""ПОЛО Д Р.158"" что за товар",Глобус
СЫРОК СВИТ.ВАР.СГ.45,3,159,Сырки и творожные десерты,,Свитлогорье,,,"фасовка, жирность",Свитлогорье сырки и творожные десерты вес упаковки грамм купить,Глобус
МЫЛЬНИЦА,3,393,,,,,,"категория, бренд, фасовка","""МЫЛЬНИЦА"" что за товар",Глобус
БРАУНИ ФИСТАШ 50Г,3,300,Сухофрукты и орехи,,,0.05кг,,бренд,"сухофрукты и орехи ""БРАУНИ ФИСТАШ 50Г"" какая марка",Глобус
ЛУК EASY FOOD ЖАР170,3,823,Овощи,,,0.17кг,,бренд,"овощи ""ЛУК EASY FOOD ЖАР170"" какая марка",Глобус
ЯЙЦО КУР СМЕТ С1 20Ш,3,899,Яйцо,,,,,"бренд, фасовка","яйцо ""ЯЙЦО КУР СМЕТ С1 20Ш"" производитель вес упаковки",Глобус
MR.RIC.МАЙОН.ПЕР.ЯЙЦЕ 67% 400МЛ,3,300,,,,,67%,"категория, бренд, фасовка","67% ""MR.RIC.МАЙОН.ПЕР.ЯЙЦЕ 67% 400МЛ"" производитель вес упаковки",Пятёрочка
БОТ.ОГУРЦЫ ФАС.420Г,3,819,Овощи,,,0.42кг,,бренд,"овощи ""БОТ.ОГУРЦЫ ФАС.420Г"" какая марка",Пятёрочка
МАСЛО БР.ЛИТ.КЛАССИЧ,3,1119,,,,,,"категория, бренд, фасовка","""МАСЛО БР.ЛИТ.КЛАССИЧ"" что за товар",Глобус
КОТЛЕТА НАТУР 400Г,3,908,Полуфабрикаты,,,0.4кг,,бренд,"полуфабрикаты ""КОТЛЕТА НАТУР 400Г"" какая марка",Глобус
TEOS ЙОГУРТ ГРЕЧЕСКИЙ 2% 250Г ПЛ/СТ(САВУ,3,240,Йогурт,,,0.25кг,2%,бренд,"йогурт 2% ""TEOS ЙОГУРТ ГРЕЧЕСКИЙ 2% 250Г ПЛ/СТ(САВУ"" какая марка",Магнит
САЛ ШП МИНИ ГЛ 125,3,540,,,,,,"категория, бренд, фасовка","""САЛ ШП МИНИ ГЛ 125"" что за товар",Глобус
DEL.МЯСО КОТЛЕТНОЕ ГОВЯД.600Г,3,1705,Говядина,,,0.6кг,,бренд,"говядина ""DEL.МЯСО КОТЛЕТНОЕ ГОВЯД.600Г"" какая марка",Пятёрочка
П.СВ.ФИЛЕ БЕДРА М.ПТ.ОХЛ.750Г,3,1027,Птица,,,0.75кг,,бренд,"птица ""П.СВ.ФИЛЕ БЕДРА М.ПТ.ОХЛ.750Г"" какая марка",Пятёрочка
КИВИ СПЕЛОЕ 700Г,3,800,Фрукты и ягоды,,,0.7кг,,бренд,"фрукты и ягоды ""КИВИ СПЕЛОЕ 700Г"" какая марка",Пятёрочка
FOODF.СЫР ЧЕЧИЛ-СПАГЕТ.45% 100Г,3,327,Сыр,,,0.1кг,45%,бренд,"сыр 45% ""FOODF.СЫР ЧЕЧИЛ-СПАГЕТ.45% 100Г"" какая марка",Продторг
"МАСЛО БР.ЛИТ.82,5%",3,1165,Масло сливочное,,,,"82,5%","бренд, фасовка","масло сливочное 82,5% ""МАСЛО БР.ЛИТ.82,5%"" производитель вес упаковки",Глобус
ДОБР.НАП.КОЛА ПОНИЖ.КАЛ.1.5Л,3,387,Соки и напитки,,,1.5л,,бренд,"соки и напитки ""ДОБР.НАП.КОЛА ПОНИЖ.КАЛ.1.5Л"" какая марка",Продторг
МОР.ПЛ.КР.-БРЮЛЕ 400,3,999,Заморозка,,,0.4кг,,бренд,"заморозка ""МОР.ПЛ.КР.-БРЮЛЕ 400"" какая марка",Глобус
ИГРУШКА АМНЯМАНИЯ,3,0,Фрукты и ягоды,,,,,"бренд, фасовка","фрукты и ягоды ""ИГРУШКА АМНЯМАНИЯ"" производитель вес упаковки",Пятёрочка
ХЛЕБ М/ЗЛ.СО ЛЬНОМ ЗЕР.НАР.280Г,3,435,Хлеб,,,0.28кг,,бренд,"хлеб ""ХЛЕБ М/ЗЛ.СО ЛЬНОМ ЗЕР.НАР.280Г"" какая марка",Пятёрочка
СЫРОК СВИТ.ВАНИЛЬ50Г,3,163,Сырки и творожные десерты,,Свитлогорье,0.05кг,,жирность,Свитлогорье сырки и творожные десерты жирность процент,Глобус
"ТВ ЛАКТ В/Б 1,5%150Г",3,289,,,,,"1,5%","категория, бренд, фасовка","1,5% ""ТВ ЛАКТ В/Б 1,5%150Г"" производитель вес упаковки",Глобус
ТВОР УГЛ ПОЛЕ 5%200Г,3,556,,,,,5%,"категория, бренд, фасовка","5% ""ТВОР УГЛ ПОЛЕ 5%200Г"" производитель вес упаковки",Глобус
