название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
ПОЛ ФАМИЛИЯ XXL 2С2Р,7,1178,,,,,,"категория, бренд, фасовка","""ПОЛ ФАМИЛИЯ XXL 2С2Р"" что за товар",Глобус
ПЕЛЬМ.СИБ.ЦЕЗАРЬ 800,7,2528,Полуфабрикаты,,,0.8кг,,бренд,"полуфабрикаты ""ПЕЛЬМ.СИБ.ЦЕЗАРЬ 800"" какая марка",Глобус
"ЙОГ МАМАЛ МАЛ 2,5%",7,461,,,,,"2,5%","категория, бренд, фасовка","2,5% ""ЙОГ МАМАЛ МАЛ 2,5%"" производитель вес упаковки",Глобус
ПЕЛЕНКИ 60Х60 Р.Л30Ш,7,2559,,,,,,"категория, бренд, фасовка","""ПЕЛЕНКИ 60Х60 Р.Л30Ш"" что за товар",Глобус
ТБ ПАПИЯ 4СЛ 8РУЛ,7,1745,,,,,,"категория, бренд, фасовка","""ТБ ПАПИЯ 4СЛ 8РУЛ"" что за товар",Глобус
БЛОКНОТ ДЛЯ ТВОРЧ,7,2186,,,,,,"категория, бренд, фасовка","""БЛОКНОТ ДЛЯ ТВОРЧ"" что за товар",Глобус
ЯЙЦО КУР С0 10ШТ,7,1544,Яйцо,,,10шт,,бренд,"яйцо ""ЯЙЦО КУР С0 10ШТ"" какая марка",Глобус
"МОЛОКО 3,4-6%930МЛ",7,704,Молоко,,,0.93л,6%,бренд,"молоко 6% ""МОЛОКО 3,4-6%930МЛ"" какая марка",Глобус
ЯЙЦО КУР ВОЛЖ С020ШТ,7,1761,Яйцо,,,20шт,,бренд,"яйцо ""ЯЙЦО КУР ВОЛЖ С020ШТ"" какая марка",Глобус
Т/Б ПАПИЯ БЕЛ 3СЛ 8Р,7,1468,,,,,,"категория, бренд, фасовка","""Т/Б ПАПИЯ БЕЛ 3СЛ 8Р"" что за товар",Глобус
